"Topic","Datafeed","Subtopic","Label","Year","Month","Geography","Geo ID","Geo Name","Variable","Category","Value","Measure","Count","Population","Note","Upper CL","Lower CL"
"Birth Defects","Maternal characteristics","Maternal race & ethnicity","","2016-2020","","State","27000","Minnesota","Maternal race/ethnicity","All races/ethnicities combined","3.6","Prevalence per 10,000 live births","115","","Ear","",""
"Birth Defects","Maternal characteristics","Maternal race & ethnicity","","2016-2020","","State","27000","Minnesota","Maternal race/ethnicity","American Indian or Alaska Native/Non-Hispanic","1.9","Prevalence per 10,000 live births","1","","Ear","",""
"Birth Defects","Maternal characteristics","Maternal race & ethnicity","","2016-2020","","State","27000","Minnesota","Maternal race/ethnicity","Asian or Pacific Islander/Non-Hispanic","6.3","Prevalence per 10,000 live births","17","","Ear","",""
"Birth Defects","Maternal characteristics","Maternal race & ethnicity","","2016-2020","","State","27000","Minnesota","Maternal race/ethnicity","Black/Non-Hispanic","3.1","Prevalence per 10,000 live births","13","","Ear","",""
"Birth Defects","Maternal characteristics","Maternal race & ethnicity","","2016-2020","","State","27000","Minnesota","Maternal race/ethnicity","Hispanic","10.2","Prevalence per 10,000 live births","25","","Ear","",""
"Birth Defects","Maternal characteristics","Maternal race & ethnicity","","2016-2020","","State","27000","Minnesota","Maternal race/ethnicity","Other/Unknown","11.5","Prevalence per 10,000 live births","2","","Ear","",""
"Birth Defects","Maternal characteristics","Maternal race & ethnicity","","2016-2020","","State","27000","Minnesota","Maternal race/ethnicity","White/Non-Hispanic","2.6","Prevalence per 10,000 live births","57","","Ear","",""
"Birth Defects","Maternal characteristics","Maternal race & ethnicity","","2016-2020","","State","27000","Minnesota","Maternal race/ethnicity","All races/ethnicities combined","5.2","Prevalence per 10,000 live births","167","","Cardiovascular (Heart)","",""
"Birth Defects","Maternal characteristics","Maternal race & ethnicity","","2016-2020","","State","27000","Minnesota","Maternal race/ethnicity","American Indian or Alaska Native/Non-Hispanic","7.4","Prevalence per 10,000 live births","4","","Cardiovascular (Heart)","",""
"Birth Defects","Maternal characteristics","Maternal race & ethnicity","","2016-2020","","State","27000","Minnesota","Maternal race/ethnicity","Asian or Pacific Islander/Non-Hispanic","3","Prevalence per 10,000 live births","8","","Cardiovascular (Heart)","",""
"Birth Defects","Maternal characteristics","Maternal race & ethnicity","","2016-2020","","State","27000","Minnesota","Maternal race/ethnicity","Black/Non-Hispanic","7.1","Prevalence per 10,000 live births","30","","Cardiovascular (Heart)","",""
"Birth Defects","Maternal characteristics","Maternal race & ethnicity","","2016-2020","","State","27000","Minnesota","Maternal race/ethnicity","Hispanic","1.6","Prevalence per 10,000 live births","4","","Cardiovascular (Heart)","",""
"Birth Defects","Maternal characteristics","Maternal race & ethnicity","","2016-2020","","State","27000","Minnesota","Maternal race/ethnicity","Other/Unknown","0","Prevalence per 10,000 live births","0","","Cardiovascular (Heart)","",""
"Birth Defects","Maternal characteristics","Maternal race & ethnicity","","2016-2020","","State","27000","Minnesota","Maternal race/ethnicity","White/Non-Hispanic","5.5","Prevalence per 10,000 live births","121","","Cardiovascular (Heart)","",""
"Birth Defects","Maternal characteristics","Maternal race & ethnicity","","2016-2020","","State","27000","Minnesota","Maternal race/ethnicity","All races/ethnicities combined","3.1","Prevalence per 10,000 live births","100","","Orofacial (Mouth, Jaw, and Face)","",""
